SampleID	Nutrient	Condition	FW_shoot_mg	Rootlength
1	noP	noP	MgCl	10.26	5.931015152
2	noP	noP	MgCl	6.52	5.74344697
3	noP	noP	MgCl	12.17	6.834719697
4	noP	noP	MgCl	11.37	6.742734848
5	noP	noP	MgCl	9.8	6.736886364
6	noP	noP	MgCl	3.75	4.236348485
7	noP	noP	MgCl	5.38	4.753484848
8	noP	noP	MgCl	4.53	5.532333333
9	noP	noP	MgCl	7.75	5.484363636
10	noP	noP	MgCl	8.64	5.963253623
11	noP	noP	MgCl	10.36	5.359043478
12	noP	noP	MgCl	7.69	5.725347826
13	noP	noP	MgCl	8.57	6.424601449
14	noP_101	noP	Strain101	10.49	7.143666667
15	noP_101	noP	Strain101	8.91	7.66984058
16	noP_101	noP	Strain101	9.32	7.807710145
17	noP_101	noP	Strain101	6.76	7.508369565
18	noP_101	noP	Strain101	5.99	6.60762963
19	noP_101	noP	Strain101	8.26	7.269266667
20	noP_101	noP	Strain101	7.61	7.973207407
21	noP_101	noP	Strain101	7.56	7.399503704
22	noP_101	noP	Strain101	7.9	6.717791667
23	noP_101	noP	Strain101	6.69	6.721006944
24	noP_101	noP	Strain101	8.14	7.070333333
25	noP_101	noP	Strain101	6.07	5.947965278
26	noP_101	noP	Strain101	8.19	6.393722222
27	noP_230	noP	Strain230	4.96	7.166173913
28	noP_230	noP	Strain230	6.2	7.51565942
29	noP_230	noP	Strain230	5.97	7.250036232
30	noP_230	noP	Strain230	5.32	7.134681159
31	noP_230	noP	Strain230	5.45	6.917318841
32	noP_230	noP	Strain230	6.03	6.120088889
33	noP_230	noP	Strain230	5.7	7.665525926
34	noP_230	noP	Strain230	6.04	7.809111111
35	noP_230	noP	Strain230	5.22	6.601296296
36	noP_230	noP	Strain230	3.99	6.524710145
37	noP_230	noP	Strain230	4.85	8.197115942
38	noP_28	noP	Strain28	8.63	6.160051852
39	noP_28	noP	Strain28	7.27	4.720711111
40	noP_28	noP	Strain28	9.51	6.917185185
41	noP_28	noP	Strain28	7.46	4.384755556
42	noP_28	noP	Strain28	7.91	6.069185185
43	noP_28	noP	Strain28	7.4	7.113879433
44	noP_28	noP	Strain28	9.36	5.428765957
45	noP_28	noP	Strain28	9.74	6.694141844
46	noP_28	noP	Strain28	4.15	5.270297872
47	noP_28	noP	Strain28	8.6	6.81177305
48	noP_28	noP	Strain28	5.41	5.106644444
49	noP_28	noP	Strain28	8.3	7.413518519
50	noP_28	noP	Strain28	9.93	7.112385185
51	noP_28	noP	Strain28	9.44	7.428674074
52	noP_28	noP	Strain28	7.85	6.372659259
53	P	P	MgCl	32.42	11.28679259
54	P	P	MgCl	21.03	10.45662963
55	P	P	MgCl	18.35	11.10634074
56	P	P	MgCl	21.04	10.8168963
57	P	P	MgCl	16.61	10.60825185
58	P	P	MgCl	25.79	7.121586957
59	P	P	MgCl	31	9.165891304
60	P	P	MgCl	36.13	11.05397826
61	P	P	MgCl	17.5	8.271195652
62	P	P	MgCl	21.42	8.649224638
63	P	P	MgCl	19.6	10.31398519
64	P	P	MgCl	11.62	8.098859259
65	P	P	MgCl	18.76	10.06177778
66	P	P	MgCl	21.55	11.04882222
67	P	P	MgCl	19.05	9.741622222
68	P_101	P	Strain101	20.91	12.1193037
69	P_101	P	Strain101	23.48	12.05725185
70	P_101	P	Strain101	17.47	12.06465926
71	P_101	P	Strain101	24.49	13.57611852
72	P_101	P	Strain101	25.7	10.98396454
73	P_101	P	Strain101	28.24	12.93539716
74	P_101	P	Strain101	17.7	11.92133333
75	P_101	P	Strain101	32.9	13.03062963
76	P_101	P	Strain101	22.8	12.64475556
77	P_101	P	Strain101	32.47	14.71582963
78	P_101	P	Strain101	22.05	13.18659259
79	P_101	P	Strain101	23.47	13.51376296
80	P_230	P	Strain230	23.46	10.98197826
81	P_230	P	Strain230	22.93	12.56361594
82	P_230	P	Strain230	17.08	12.17445652
83	P_230	P	Strain230	15.95	13.1517971
84	P_230	P	Strain230	15.03	12.07245652
85	P_230	P	Strain230	13	10.69260284
86	P_230	P	Strain230	18.3	12.23648227
87	P_230	P	Strain230	17.8	11.79287943
88	P_230	P	Strain230	17.43	11.91469504
89	P_230	P	Strain230	14.93	11.2817305
90	P_230	P	Strain230	22.75	11.50250725
91	P_230	P	Strain230	37.9	13.17021014
92	P_230	P	Strain230	13.27	10.05539855
93	P_28	P	Strain28	37.14	11.90837778
94	P_28	P	Strain28	39.39	12.61278519
95	P_28	P	Strain28	28.27	12.43435556
96	P_28	P	Strain28	29.5	12.5599037
97	P_28	P	Strain28	27.29	11.58563704
98	P_28	P	Strain28	22.82	11.92532593
99	P_28	P	Strain28	25.05	12.83122222
100	P_28	P	Strain28	17.48	11.64403704
101	P_28	P	Strain28	15.85	11.90019259
102	P_28	P	Strain28	9.54	10.69875177
103	P_28	P	Strain28	27.91	11.66879433
104	P_28	P	Strain28	26.63	12.55540426
105	P_28	P	Strain28	29.96	11.7712766
